id_ec,tx_empresa
2033795b70d2c5856daf0e645c131e06,0.05
5783bee410a61de15120f7c5727170ba,0.84
271210c17b8c2ff71ac1cf6e9a3bd54e,0.02
54fb80382758983e072e06e9169ee356,0.03
d05364fcc56a5ea68a50fc33af2b22ce,0.03
f9760e127d047a39f8947e66935bf76a,0.02
3208d41adc2846985701a7c946df4515,0.03
81fdda8bea75f60b1b4af99040780a55,0.03
a3e7893d5d4e61a16a58ba306d9718b5,0.03
ecc5797cd5b8b16d441c6d8daf7c3967,0.04
6a69c03a5f24b559fba6805bc2115cfc,0.04
a7ef827c2950e7271bf58907cc3f7d09,0.03
b1e0012fba9fcc69d766efece92ba020,0.05
c8627f6220e05458f65fd5d2eb74a158,0.04
e8163412b263ea8ebe8a96bd635fb3de,0.03
cfa93e4e6f91def42f86e5e4b24a3645,0.05
56cdd935686e7e896b928d08c2100054,0.03
a99a02104ccd041d50dea5e69b2c2361,0.03
db98090a51374555ad174a2645f6b6ea,0.05
d58b2c822820a7865a460abfef400131,0.05
4dbe3819f66cb1e8220a23feb9b29bae,0.04
978c3402b7b963669cf783bdfa1e85b8,0.04
b2535236443f11738f3ad42cc1e7fd46,0.02
1d708f6bea81432cd0762f2438305ef5,0.04
e4419bb4325fb442575ab72720c54a95,0.04
e97a1253774f60daed7405979e4d96b8,0.02
6a19bf34cfe552794838e7facad415f7,0.03
bc35ccec2d39fb146b79e0d781cac76a,0.04
bd96958a1d18daae43998ea9246f0a13,0.05
d60dd5b02c539dc926fa2abd34d5e830,0.03
d56930fc8489f551416066964afb51cd,0.04
2ad78139c48fb5c5521807af7746880c,0.03
6f7a7fe572a2f948368d66ad907093e4,0.02
d1685f248d1be37495d01f94f7af4454,0.05
8086d071a336ca4e1409c3481ff35842,0.05
fdff4764f83428a46090edbf896c6b2c,0.04
8aab0dc6af2305ba27163efe21ba7244,0.04
ff9052a0e216b625733879f1af00fb0b,0.05
4ba505885c673e7b2828d931461f7f37,0.02
804361153b0a442c475470f3b8bbe046,0.03
818f8f795d0d19322c2fe46c91cd503c,0.04
e1e008fb9a57d6472b5450c7ebdb311e,0.05
faea848d61876db6fec6e2ed4d7b1dc0,0.05
15cea896843fec8854f7fa47e214e9af,0.05
4f18ec01cfe118e4148ddc331baae967,0.03
ffca8f07fade3b4a3e4c94aa0bf5d83e,0.03
c11d140dd5a579521746da81d0a04571,0.05
3091a40dbebd5b209b4f0ee3797c6c59,0.04
22bd18bd4748da0dd6fe3ca1a52df322,0.02
dfc5d5f3f5999dacccf561fbebb9f930,0.02
1e0151650f19f6df4e8b453a50bb9c41,0.03
37d861517d8e1b328a8373d1d68c72e8,0.02
3e34230055e48352d633012f09e8f59d,0.04
f8f550a22bf438939f408b555f971d6a,0.05
75cb125235954fe6cb46d865fc153631,0.04
d5d58348523d9464a770b7754773620d,0.04
1ca0af13c9fb9e4027b6d14285021ed6,0.03
d93fd92112aca23121303a7d26523f6f,0.02
2faf92ad7d27f3f345d1c6bf6c4a19c6,0.04
409bd5cbfe112ab9e0942a07778aed18,0.03
053c522c3098b91235e002fa035ee0f4,0.04
d8685956880d398882e91becc0beb3ba,0.05
5a3bbd88cadfca26a2d607a184438d4e,0.04
78bae5e5e379018bcf88221d7a84b646,0.05
baf7a8c3e80fc38e7bcc43ac132bd0ac,0.03
a467b754acc623a2687fae6706b0165e,0.02
c14edbef59e40340994aff79897244de,0.03
a135fc7d62cbdb6467aebe921db178c9,0.03
88936f9ccf8c925358408f99c5f86c90,0.02
0f78b59735da8910729bb8a7f1db259a,0.02
c6bc2ffc5d24081c8394c36f3024f12b,0.02
88f8c304f5899ae3fa09fca64b14a9f2,0.03
5d6f65afd15f0bb3f78c6bdbf81b32b9,0.04
25e36f9f84188b88d12ef3bbd76abf37,0.04
a1bb19345b9044c524931f52b32d7305,0.04
8c0dc55dec392edf80605569b11d6f92,0.05
80e3bdef1c9d52b54fe3a59ab14e5adf,0.04
c06f2841b2a725a5cd9dab23592f393c,0.03
a2bd4e000c007637b75531e8c6e0d85b,0.03
381d1d495ca1da70920726e62dd2c6a0,0.04
f64f52fd7df7ba24218a754aaecb8591,0.02
fe41d20fc9cbe11614bb101fe3b8645a,0.04
072ee2e8a51413599194438d1f0a08a6,0.04
2274dcda2b65dfa7c4f57c2d7a537db0,0.05
aeb9117068a5277d347550c6ab21b015,0.05
22ab44ac6e14780bee1b1cd6d3b3f8ca,0.03
cbd3a81d66819b6a7dc3c1f469a5b465,0.04
703c966f71318a9bc2f2a6d2d7937f40,0.04
529eba0be00f7cb2f71b0b5da8cdde17,0.02
6bca01c7ee84f24079ad0e4d658f600c,0.03
6c7fdafa5a687e48fef0a801973e2941,0.04
47a76dca3df0c7f175092305c2f06dba,0.03
3b3cdaa2c69775315fd8caa4a7220cb2,0.04
0eb0da8bdc2bb219397147f682b68dda,0.04
9c35212af03d0392a7737791991d1168,0.04
40fba0f49d3fcb37632936335a99512b,0.04
bebb411baf9b45e9c4f1517ffd466d25,0.04
a25e566895a92b247c7791df4b63506e,0.02
4601477c91d2d0bb82d7d4c600d48bd1,0.03
2cb186805f351d3fc6597ffd53c20255,0.04
3523fa29136b9cd17eb0e47a1a0cbaa0,0.02
82374ad435823596903b63570faa0b48,0.05
efbe5818b5ace1927f80e2c33ee72171,0.03
990788d397b313cc0d508e94e9095d52,0.03
7a823f78526f2848c839dbad7ff74b4c,0.04
24f2aabb73d0d266d00b6220fcbac48d,0.04
f1a682c31b5e7cd58c47ead84bf36acd,0.04
49ac3bb7750e3325e65e06b1270d92d0,0.02
5456f48db04c8aed50df990dd65d4cd2,0.04
9ec463721d7ce53b6ed3e914b1de9d4e,0.04
80f967ce58ea4a8910bb82796fcb3964,0.04
0f82b03f236e2653d9b6be19368be698,0.03
99382ac194df7b32ca0c15bdb65087fe,0.04
7ae4f3c3f508eba10ea53e7111b97ddc,0.04
cf83fe8939b809a3021dde402517f83b,0.04
1e7f92ceebc953aa3bbc18ab266d9104,0.05
9da196603d779357cbd1596784cc6eba,0.04
1464ef8c66f80d7aa9e1518e489861bc,0.03
523772029c93b290c7c549c2d4d787aa,0.03
166cbfd2376386a98a828ce7c9644d3b,0.04
5392074408ebaba79536e67d5e2907ee,0.03
1d965a6305f5461bb85f46b1051a848c,0.04
d21432e419ad833d75be91b4becc62c4,0.04
44f43b5168c470356092a402bae9bb5a,0.05
9213066f5d2d462a544311d122f949a8,0.04
03f66bc687222b82356c31a5f0afec0f,0.03
0c0e11c46d85e91374eba57504b82cfd,0.03
e94a34f6e6b2f7eb6e86190bf7953a93,0.02
73d82a61fd9bf8ba152f9d38cc762df0,0.04
744cc7ccb28f9fa8ffdf095d859a0260,0.04
