id_trabalhador,aceita_recomendacao,aceita_termo,dat_nascimento,dsc_idade,dsc_sexo
b41980ee7f373c2778aafc9ef84b6eb0,1,1,1979-04-20,46,Não informado
0e3ec14d217211be3618b38cc822346f,0,0,1997-01-27,28,Feminino
1306e660ceb10f17596a91cc5cc4ebb6,1,1,1970-04-04,55,Não informado
219e9e8d718b2825351a077ffdc4f2b4,1,1,1959-11-30,65,Feminino
b62f3626b65e43d02f4f0b2af1f7bf80,1,1,1959-10-29,65,Masculino
edb02b0449d1f9d4623fd3dfc22c52ad,1,1,1997-09-10,27,Não informado
49a7e86df866c971030af81c0e6b39cd,1,1,1969-02-19,56,Não informado
435be1aac55952c7da64d0c8ac0b1239,1,1,1986-12-21,38,Não informado
a51f0230712b12bf9c1f8cfd2b27b851,1,1,1977-07-11,47,Não informado
a6fdfe572549d2a3fa61d9baee732495,1,1,1966-10-21,58,Não informado
38ebc9b93bd231de7015d238ccbaa507,0,0,1980-06-06,44,Não informado
54f20021720c72d171252ac92cb48488,0,0,1965-05-15,60,Não informado
2ce65104236fceee85855106dcadd243,1,1,1975-09-13,49,Não informado
42028b4b36bab349c0f02e191e0db9f8,1,1,1970-02-17,55,Não informado
5663c56c72ae88b585fb5952a5c95f58,1,1,1980-02-08,45,Não informado
870928ae56fec97e8b2f77607275a2cc,1,1,1990-01-06,35,Feminino
cedd9166a696d3216731e67f7c991218,1,1,1968-01-23,57,Não informado
75f0650b1793dfcc41fc1cfa33054537,1,1,1971-06-05,53,Não informado
5eb97af578e53ec3e597f1273c3b5685,1,1,1979-10-31,45,Feminino
0f49d65d823a640ce719946d5de1deef,1,1,1976-04-29,49,Não informado
ddf61ae363c9d28f61eb1b23d32fbbb3,0,0,1975-11-21,49,Não informado
edecbda5d01790b640310132c40205f6,1,1,1992-04-12,33,Não informado
48f4e56c29164e5acefa3adfe29305bc,1,1,1969-01-02,56,Não informado
d30309edb81d496233af1ed3799d2e54,1,1,1994-10-05,30,Masculino
54bab02d623ee117b00b4aacdb03fe81,1,1,1970-04-26,55,Não informado
f9f8647d6f03be55903a7cf1ebaba8bb,1,1,1996-10-27,28,Não informado
9cf822b2b79f6f1b899c0efdd268b158,1,1,1968-06-06,56,Não informado
b3bc766fef6e6bc59d08f545171a1dc0,0,0,1980-11-02,44,Não informado
a261dfde94e8a95505839c9ceea72b0a,1,1,1979-11-14,45,Não informado
4a229c6307791d3b54cd9fd6d5ce80b8,1,1,1977-08-12,47,Não informado
3cfd3b960b885a5ee35fad3640c823a9,1,1,2003-06-16,21,Feminino
9a0ec0e6a1b2a1f771a2bedd15799fae,1,1,1968-10-02,56,Não informado
0ea39a57c3d95eca273550f2b71f8cd7,1,1,1992-03-05,33,Não informado
d8c7eb960bcdb15f5098fe173cb41276,1,1,1956-06-07,68,Não informado
5c73b5c4c97ae2d4cb5ec0001b992a10,1,1,1970-07-06,54,Não informado
531ad2fba3bd3e1c654e7797bff33a5f,1,1,1970-09-09,54,Não informado
31ea9f0626ddc28dafb56448b4c3934b,0,0,1980-03-19,45,Não informado
e1f409c649fb1440e49fc464d014a2c2,1,1,1981-03-24,44,Não informado
d11f2c0753733e57b7c05b6cecb9898a,0,0,1986-10-01,38,Não informado
ac438657d19be585492d19f8317ec0a5,1,1,1974-11-15,50,Não informado
d1ab02d2187397f2dfbe249fe8e79691,1,1,1996-10-30,28,Masculino
01c50498cedec05687f5316789efa249,1,1,1974-07-10,50,Não informado
5f265cc1d8a7bd5489f629f4381b9d6a,1,1,1966-07-25,58,Não informado
ebccf0491ed85ad29014878465c2b36f,0,0,1979-06-07,45,Não informado
5f3a6468b0c08cd33c5d307836d7a5f7,0,0,1951-02-11,74,Masculino
f5b59ad736837a53ac677dfd7dafd35b,1,1,1979-12-12,45,Masculino
20b36fa7b74291206a4c9f521317d5f9,1,1,1978-06-27,46,Feminino
40fcde105a9e2fd963f2c5dd234560e2,1,1,1978-06-18,46,Não informado
66eb2feea317ad82dc86547de574922e,1,1,1970-03-03,55,Não informado
dfda25c48d61d3078a1577882b6602c0,1,1,1998-05-18,27,Masculino
7a66fbdb9f33537a134bde84558625b7,1,1,1979-02-26,46,Não informado
32d83c82d751671e38eba1154acc9023,1,1,1967-01-17,58,Não informado
665d41b8119cde904bd5842710bb54f3,0,0,1982-03-24,43,Feminino
0b47f50be0a809a3e4a00b12398404ea,0,0,1960-10-21,64,Não informado
5ba36ce6a092e0a9c6933224aae10cce,1,1,1998-03-23,27,Masculino
5a322ce096e22b9c6151cd39381cc476,1,1,1999-03-16,26,Não informado
d47c9e16bb94a54bc43969bd0ffd7b72,1,1,1982-12-31,42,Masculino
ee5f2daeba3e86dae6b361cded6d8d57,0,0,1992-05-25,32,Não informado
6277f688b3b0ab12fa27d8e2fab20ad8,0,0,1979-06-09,45,Não informado
43e19d7620a212df2c36dfca68ea0627,1,1,1998-11-12,26,Masculino
2331ed9f9dd93eec7a0b4a777d360968,1,1,1973-09-09,51,Não informado
6fa2f502b676ea16dbab5e3e405605fd,1,1,1991-05-07,34,Não informado
7f62031ce4ffc1005428443940eab418,1,1,1965-03-24,60,Não informado
83f749ae6f97a66ea9eee677e314eda8,1,1,2001-04-17,24,Não informado
ed428f2d00c7d1f01dffbc549a93c95c,1,1,1976-11-17,48,Não informado
13cde5ee1628b1b6c70ed96048d92f4d,1,1,1980-04-20,45,Não informado
ef9c4c05ad96806c26a8443c7fdef91f,1,1,1966-01-23,59,Não informado
9510aa053ae7234c81567dea90097475,1,1,1996-01-29,29,Não informado
291b03f2306b628ed094ae0c952a03f1,0,0,1978-12-22,46,Não informado
6b0b0944f6f6aa08a376f53dc9bacbff,0,0,1953-10-08,71,Não informado
398a6ce2d65d91490cc0bf96d1030f80,1,1,1966-05-26,58,Não informado
c749e1fa70a12c44b8ba296c9d59f7b4,1,1,1981-02-08,44,Não informado
e32e0b513bbc10b890cbd84f006567a7,1,1,1977-10-02,47,Não informado
